"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Safety, Reactogenicity, and Immunogenicity of Inactivated Influenza A/H7/N7 Vaccine in Healthy Adults","Completed","No Results Available","Influenza","Biological: Influenza A/H7N7 Vaccine|Drug: Placebo","Baylor College of Medicine - Department of Molecular Virology and Microbiology, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00546585"
2,"Inactivated Influenza A/H9N2 Vaccine With and Without MF59 Adjuvant in Ambulatory Adults","Completed","No Results Available","Influenza","Biological: Influenza A/H9N2 vaccine|Drug: MF59 adjuvant","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00133471"
3,"A Safety and Immunogenicity Trial in Adults 65 Years of Age or Over to Prevent Influenza","Completed","No Results Available","Influenza","Biological: AVX502|Biological: Placebo","Johnson County Clin-Trials, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT00706732"
4,"A Phase 1/2 Clinical Trial of an Alphavirus Replicon Vaccine for Influenza","Completed","No Results Available","Influenza","Biological: AVX502|Biological: Placebo","Johnson County Clin-Trials, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT00440362"
5,"Safety and Immunogenicity of Inactivated Influenza Virus Vaccine Among Healthy Children 6-12 Weeks of Age","Completed","No Results Available","Inactivated Influenza Vaccine","Biological: 2005-2006 trivalent inactivated influenza vaccine","Seattle Children's Hospital and Regional Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00242424"
6,"TCAD vs. Monotherapy for Influenza A in Immunocompromised Patients","Completed","Has Results","Influenza","Drug: TCAD|Drug: Zanamivir or Oseltamivir|Other: Open label treatment with TCAD","Seattle Children's, Seattle, Washington, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00867139"
7,"Influenza Vaccination for Parents and Other Caregivers in the Pediatric Medical Home","Completed","Has Results","Influenza","Drug: Influenzae vaccine","Akron Children's Hospital, Akron, Ohio, United States","https://ClinicalTrials.gov/show/NCT00812110"
8,"B-cell Immunity to Influenza (SLVP017)- Year 1, 2009","Completed","Has Results","Influenza","Biological: Fluzone® 2009-2010 Formula|Biological: FluMist® 2009-2010 Formula","Stanford LPCH Vaccine Program, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT02133781"
9,"Comparative Safety and Immunogenicity of 1.0 µg Intramuscular (i.m.) and 2.0 µg Subcutaneous (s.c.) Dosing With VAX102 (M2e-flagellin) Universal Influenza Vaccine in Healthy Adults","Completed","Has Results","Influenza","Biological: VAX102","Jean Brown Research, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT00921947"
10,"Influenza Immunity Against Pandemic Respiratory Virus","Completed","No Results Available","Influenza","Biological: FluMist|Biological: Fluzone","Stanford University, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT00138281"
11,"St. Jude Open Label H5 Trial","Completed","No Results Available","Influenza","Biological: Inactivated Influenza A/H5N1 Vaccine (sanofi pasteur)","St. Jude Children's Research Hospital, Memphis, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00311675"
12,"Higher Dose Intradermal H5 Vaccine","Completed","Has Results","Influenza","Biological: Inactivated Influenza A Vaccine A/H5N1|Drug: Placebo (IM)|Drug: Placebo (ID)","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00439335"
13,"Proteomic Profiling for Influenza Vaccination - FluMist","Completed","No Results Available","Influenza","Biological: FluMist","Eastern Virginia Medical School, Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00385281"
14,"Interferon as a Mucosal Adjuvant for Influenza Vaccine Given Intranasally","Completed","Has Results","Influenza","Biological: Trivalent inactivated influenza virus vaccine (2006-2007 formulation)|Biological: Type 1 interferon","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00436046"
15,"Immunogenicity and Safety of Different Doses of Fluzone® Influenza","Completed","No Results Available","Influenza","Biological: Fluzone® (IM)|Biological: Fluzone®","Saint Louis University, St. Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT00253734"
16,"Revaccination With Subunit Influenza A/Vietnam/1203/2004 (H5N1) Vaccine","Completed","No Results Available","Influenza","Biological: Influenza A/Vietnam/1203/2004 (H5N1; sanofi pasteur)","University of Rochester, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00240903"
