"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Safety and Efficacy Study of Nitazoxanide in the Treatment of Acute Uncomplicated Influenza","Completed","Has Results","Influenza","Drug: Nitazoxanide|Drug: Placebo","Health Sciences Research Center, Elmira, New York, United States","https://ClinicalTrials.gov/show/NCT01227421"
2,"Influenza A 2009 H1N1 Challenge Study in Healthy Adults","Completed","Has Results","Influenza","Biological: Ca/04/2009/H1N1 Vero Grown Challenge Virus","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT01646138"
3,"Safety, Reactogenicity, and Immunogenicity of Inactivated Influenza A/H7/N7 Vaccine in Healthy Adults","Completed","No Results Available","Influenza","Biological: Influenza A/H7N7 Vaccine|Drug: Placebo","Baylor College of Medicine - Department of Molecular Virology and Microbiology, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00546585"
4,"Inactivated Influenza A/H9N2 Vaccine With and Without MF59 Adjuvant in Ambulatory Adults","Completed","No Results Available","Influenza","Biological: Influenza A/H9N2 vaccine|Drug: MF59 adjuvant","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00133471"
5,"A Safety and Immunogenicity Trial in Adults 65 Years of Age or Over to Prevent Influenza","Completed","No Results Available","Influenza","Biological: AVX502|Biological: Placebo","Johnson County Clin-Trials, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT00706732"
6,"A Phase 1/2 Clinical Trial of an Alphavirus Replicon Vaccine for Influenza","Completed","No Results Available","Influenza","Biological: AVX502|Biological: Placebo","Johnson County Clin-Trials, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT00440362"
7,"Nontypeable H. Influenzae in Healthy Adults","Completed","No Results Available","Haemophilus Influenzae (NTHI)","Biological: NTHi Strain 2019","University of Iowa - Infectious Disease Clinic, Iowa City, Iowa, United States","https://ClinicalTrials.gov/show/NCT00905385"
8,"A Study Evaluating the Safety and Tolerability of a Seasonal Influenza Vaccine Containing LIQ001","Completed","No Results Available","Influenza","Biological: Fluzone® (2010/2011 Inactivated Trivalent Influenza Vaccine)|Biological: LIQ001 (0.45mg)|Biological: LIQ001 (1.8mg)","Accelovance - Melbourne, Melbourne, Florida, United States","https://ClinicalTrials.gov/show/NCT01224262"
9,"T-705a Multicenter Study in Adults Subjects With Uncomplicated Influenza","Completed","No Results Available","Influenza","Drug: Placebo|Drug: Favipiravir","Miami Research Associates, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT01728753"
10,"Evaluation of Anti-Hemagglutinin (Anti-HA) Antibodies as Protection From the Flu in Healthy People","Completed","Has Results","Influenza","Biological: Ca/04/2009/H1N1r Challenge Virus","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT01971255"
11,"Safety and Immunogenicity of Inactivated Influenza Virus Vaccine Among Healthy Children 6-12 Weeks of Age","Completed","No Results Available","Inactivated Influenza Vaccine","Biological: 2005-2006 trivalent inactivated influenza vaccine","Seattle Children's Hospital and Regional Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00242424"
12,"TCAD vs. Monotherapy for Influenza A in Immunocompromised Patients","Completed","Has Results","Influenza","Drug: TCAD|Drug: Zanamivir or Oseltamivir|Other: Open label treatment with TCAD","Seattle Children's, Seattle, Washington, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00867139"
13,"Influenza Antiviral DAS181-F03","Completed","No Results Available","Influenza","Drug: Placebo|Drug: DAS181","Johns Hopkins Hospital - Medicine - Infectious Diseases, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT01173224"
14,"Influenza Vaccination for Parents and Other Caregivers in the Pediatric Medical Home","Completed","Has Results","Influenza","Drug: Influenzae vaccine","Akron Children's Hospital, Akron, Ohio, United States","https://ClinicalTrials.gov/show/NCT00812110"
15,"B-cell Immunity to Influenza (SLVP017)- Year 1, 2009","Completed","Has Results","Influenza","Biological: Fluzone® 2009-2010 Formula|Biological: FluMist® 2009-2010 Formula","Stanford LPCH Vaccine Program, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT02133781"
